ID_BB_GLOBAL,FIELD,VALUE,SOURCE,TSTAMP
BBG000064N91,ticker,OREKON,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,calc_typ_des,SWEDEN I/L: STREET,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,id_exch_symbol, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,name,ORESUNDSKONSORTIET,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,min_increment,1000000.0000,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,mty_typ,AT MATURITY,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,first_settle_dt,20040709,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,security_typ2, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,collat_typ,GOVT GUARANTEED,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,cv_cnvs_ratio, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,amt_outstanding,1085000000.00,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,industry_group,Regional(state/provnc),corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,pct_par_quoted,Y,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,cpn_typ,FIXED,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,id_sedol1,B7NCQ92,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,sinkable,N,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,parent_comp_name, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,id_cusip_real, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,maturity,20281201,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,id_bb_unique,COED5429110,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,exch_code,NOMX STOCKHOLM,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,reference_index,SWCPI Index,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,trade_crncy,SEK,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,defaulted,N,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,sinking_fund_factor,1.00000000,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,crncy,SEK,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,par_amt,1000000.000000000,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,id_cusip,ED5429110,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,market_sector_des,Govt,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,contingent_conversion, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,inflation_linked_indicator,Y,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,redemp_val,147.10689,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,issuer_bulk,ORESUNDSKONSORTIET,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,long_comp_name,Oresundsbro Konsortiet,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,issuer,ORESUNDSKONSORTIET,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,cur_cpn, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,cv_common_ticker, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,security_des,OREKON 3 1/2 12/01/28,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,id_isin,SE0001233990,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,security_typ,DOMESTIC,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,cntry_of_incorporation,MULT,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,issuer_industry,GOVT REGIONAL,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,cv_common_ticker_exch, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,country,MULT,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,industry_sector,Government,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,cpn,3.500000,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,issuers_stock, ,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,industry_subgroup,Regional Authority,corp_pfd.dif,2022-12-23 12:33:56.209102
BBG000064N91,cntry_of_domicile,DK,corp_pfd.dif,2022-12-23 12:33:56.209102
